N_cyc (number of cycle)
100
OM_pre (preexisting OM)
13
VOC/NOx ratio
6.5
initial ROG concentration [ppb]
262
HO2(j)  RO2(j)  dROG(j)  Temp(j)  RH(j)  dSO4(j)  dNH4(j)
7.14603594547454E-05 9.96196816089588E-05 2.98295813881501 300.072433333333 0.638241591957648 0 0
7.99353203906424E-05 0.000111577850725723 3.241153636495 300.636433333333 0.620422298833101 0 0
8.72105382006397E-05 0.000121872388957991 3.43228634058102 301.200433333333 0.603173484556381 0 0
9.57409317141809E-05 0.000133920281385485 3.649411031092 301.720616666666 0.586491644370409 0 0
0.000104151356866705 0.000145761636872003 3.839469330057 302.218616666666 0.570342945655098 0 0
0.000110164267916197 0.000154209708565939 3.92353775894799 302.716616666666 0.554699391359324 0 0
0.000119565346885101 0.000167365261545129 4.102950768266 303.277091666666 0.537970306885778 0 0
0.000123907551584603 0.000173475050780871 4.09059072746001 303.964091666666 0.518756692958156 0 0
0.000139221162978554 0.000195025055014898 4.39985785439299 304.651091666666 0.500327976778797 0 0
0.000146782649120271 0.000205681092955082 4.43153268781299 305.338091666666 0.482648486342535 0 0
0.00013786703232044 0.00019326405660677 3.980045824624 305.938333333333 0.469213820345281 0 0
0.0001567669086434 0.00021966348901371 4.317898513551 306.538333333333 0.456218954839294 0 0
0.000167094780283766 0.000233904064623512 4.37763119252702 307.138333333333 0.443638384485455 0 0
0.000173875365377694 0.000243078701407359 4.32441797396399 307.618833333333 0.433179838230175 0 0
0.000156065945117867 0.000217790383596314 3.69117626963401 308.038833333333 0.423855902788667 0 0
0.00019795299889819 0.000275483289911818 4.45295218055099 308.458833333333 0.414762364859779 0 0
0.000217907745405222 0.000302001358318583 4.62651413179398 308.931391666666 0.405055572726503 0 0
0.000228876887057431 0.000315774917753616 4.56407840643902 309.510391666666 0.39396679570743 0 0
0.00023611384547809 0.000324364296914548 4.406669790438 310.089391666666 0.383228647258464 0 0
0.000242024799096889 0.000330993094195991 4.22161987656099 310.668391666666 0.372828725458171 0 0
0.000194447663593738 0.000265130453499608 3.15843812207999 311.214483333333 0.364413377002645 0 0
0.000173958087039695 0.000236927733597301 2.67298020442701 311.760483333333 0.356219786024645 0 0
0.000260015539293727 0.000353280959654075 3.82529096963799 312.306483333333 0.348237056763407 0 0
0.000253713963878026 0.000343247528771077 3.47718932106503 312.985925 0.337592787556059 0 0
0.000155840253670395 0.000210733480050808 1.98073353718098 313.732925 0.325934926199322 0 0
0.000142762626777454 0.000193903482880203 1.74239123047101 314.479925 0.314742844555064 0 0
0.000144336687929837 0.000197155372242184 1.700093693052 315.038508333333 0.306808029701221 0 0
0.000192228504474317 0.000263710134327715 2.186077599416 315.215508333333 0.304724672697206 0 0
0.000357681030557132 0.000487585850605785 3.95346665955699 315.392508333333 0.302657344404109 0 0
0.000289086121354145 0.00039148173832032 2.911319794707 315.569508333333 0.300605913104776 0 0
0.000376658120155622 0.000505849143396726 3.60632030001901 315.976866666666 0.295047109345527 0 0
1.60867363337157E-05 1.94679765347679E-05 0.168149974946999 316.384866666666 0.289598287945899 0 0
8.11533597175524E-05 0.00011012625757086 0.714234539631008 316.792866666666 0.284266507905788 0 0
